Comment,Description,Designator,Footprint,LibRef,Quantity

"LED RED","LED RED 0805","PWR1","LED_RED_0805","LED_RED_0805","1"
"1k","RES SMD 1 kOhm 1/8W 0805","R13","RESC2013X38N-0805-NOOVERLAY","00001001","1"
